Sat1.Mars2000Eq.X   Sat1.Mars2000Eq.Y   Sat1.Mars2000Eq.VX   Sat1.Mars2000Eq.VY   Sat2.Mars2000Eq.X   Sat2.Mars2000Eq.Y   Sat2.Mars2000Eq.VX   Sat2.Mars2000Eq.VY   
-1.302e+04          8011                -1.369               -0.4206              1.067e+04           1.095e+04           -1.199               1.168                
-1.302e+04          8011                -1.369               -0.4206              9481                1.199e+04           -1.313               1.038                
-1.302e+04          8011                -1.369               -0.4206              8196                1.29e+04            -1.413               0.8977               
-1.302e+04          8011                -1.369               -0.4206              6824                1.368e+04           -1.498               0.7474               
-1.302e+04          8011                -1.369               -0.4206              5380                1.431e+04           -1.567               0.5892               
-1.302e+04          8011                -1.369               -0.4206              3878                1.479e+04           -1.619               0.4247               
-1.302e+04          8011                -1.369               -0.4206              2335                1.511e+04           -1.654               0.2557               
-1.302e+04          8011                -1.369               -0.4206              766.8               1.527e+04           -1.672               0.08405              
-1.302e+04          8011                -1.369               -0.4206              -809.3              1.526e+04           -1.672               -0.08854             
-1.302e+04          8011                -1.369               -0.4206              -2377               1.51e+04            -1.654               -0.2602              
-1.302e+04          8011                -1.369               -0.4206              -3919               1.478e+04           -1.618               -0.4291              
-1.302e+04          8011                -1.369               -0.4206              -5420               1.429e+04           -1.565               -0.5934              
-1.302e+04          8011                -1.369               -0.4206              -6863               1.366e+04           -1.496               -0.7514              
-1.302e+04          8011                -1.369               -0.4206              -8233               1.288e+04           -1.41                -0.9014              
-1.302e+04          8011                -1.369               -0.4206              -9516               1.196e+04           -1.31                -1.042               
-1.302e+04          8011                -1.369               -0.4206              -1.07e+04           1.092e+04           -1.196               -1.171               
-1.302e+04          8011                -1.369               -0.4206              -1.176e+04          9761                -1.069               -1.288               
-1.302e+04          8011                -1.369               -0.4206              -1.271e+04          8498                -0.9305              -1.391               
-1.302e+04          8011                -1.369               -0.4206              -1.352e+04          7144                -0.7823              -1.48                
-1.302e+04          8011                -1.369               -0.4206              -1.418e+04          5714                -0.6257              -1.552               
-1.302e+04          8011                -1.369               -0.4206              -1.469e+04          4224                -0.4625              -1.609               
-1.302e+04          8011                -1.369               -0.4206              -1.505e+04          2689                -0.2944              -1.648               
-1.302e+04          8011                -1.369               -0.4206              -1.525e+04          1125                -0.1232              -1.669               
-1.302e+04          8011                -1.369               -0.4206              -1.528e+04          -451.2              0.04933              -1.673               
-1.302e+04          8011                -1.369               -0.4206              -1.515e+04          -2022               0.2213               -1.659               
-1.302e+04          8011                -1.369               -0.4206              -1.486e+04          -3572               0.391                -1.627               
-1.302e+04          8011                -1.369               -0.4206              -1.442e+04          -5083               0.5565               -1.579               
-1.302e+04          8011                -1.369               -0.4206              -1.382e+04          -6541               0.7161               -1.513               
-1.302e+04          8011                -1.369               -0.4206              -1.307e+04          -7929               0.8681               -1.431               
-1.302e+04          8011                -1.369               -0.4206              -1.219e+04          -9233               1.011                -1.334               
-1.302e+04          8011                -1.369               -0.4206              -1.117e+04          -1.044e+04          1.143                -1.223               
-1.302e+04          8011                -1.369               -0.4206              -1.004e+04          -1.153e+04          1.263                -1.099               
-1.302e+04          8011                -1.369               -0.4206              -8795               -1.25e+04           1.369                -0.9629              
-1.302e+04          8011                -1.369               -0.4206              -7460               -1.334e+04          1.461                -0.8168              
-1.302e+04          8011                -1.369               -0.4206              -6047               -1.404e+04          1.537                -0.662               
-1.302e+04          8011                -1.369               -0.4206              -4569               -1.459e+04          1.597                -0.5002              
-1.302e+04          8011                -1.369               -0.4206              -3043               -1.498e+04          1.64                 -0.333               
-1.302e+04          8011                -1.369               -0.4206              -1484               -1.521e+04          1.666                -0.1623              
-1.302e+04          8011                -1.369               -0.4206              90.67               -1.529e+04          1.674                0.01006              
-1.302e+04          8011                -1.369               -0.4206              1664                -1.52e+04           1.664                0.1824               
-1.302e+04          8011                -1.369               -0.4206              3220                -1.494e+04          1.636                0.3527               
-1.302e+04          8011                -1.369               -0.4206              4742                -1.453e+04          1.591                0.5193               
-1.302e+04          8011                -1.369               -0.4206              6213                -1.397e+04          1.529                0.6804               
-1.302e+04          8011                -1.369               -0.4206              7618                -1.325e+04          1.451                0.8343               
-1.302e+04          8011                -1.369               -0.4206              8942                -1.24e+04           1.358                0.9793               
-1.302e+04          8011                -1.369               -0.4206              1.017e+04           -1.141e+04          1.249                1.114                
-1.302e+04          8011                -1.369               -0.4206              1.129e+04           -1.03e+04           1.128                1.237                
-1.302e+04          8011                -1.369               -0.4206              1.229e+04           -9085               0.9948               1.346                
-1.302e+04          8011                -1.369               -0.4206              1.316e+04           -7771               0.8509               1.442                
-1.302e+04          8011                -1.369               -0.4206              1.389e+04           -6374               0.6979               1.522                
-1.302e+04          8011                -1.369               -0.4206              1.448e+04           -4909               0.5375               1.585                
-1.302e+04          8011                -1.369               -0.4206              1.49e+04            -3392               0.3714               1.632                
-1.302e+04          8011                -1.369               -0.4206              1.517e+04           -1839               0.2014               1.662                
-1.302e+04          8011                -1.369               -0.4206              1.528e+04           -266.8              0.02918              1.674                
-1.302e+04          8011                -1.369               -0.4206              1.523e+04           1308                -0.1433              1.668                
-1.302e+04          8011                -1.369               -0.4206              1.501e+04           2870                -0.3143              1.644                
-1.302e+04          8011                -1.369               -0.4206              1.464e+04           4401                -0.4819              1.603                
-1.302e+04          8011                -1.369               -0.4206              1.411e+04           5885                -0.6444              1.545                
-1.302e+04          8011                -1.369               -0.4206              1.343e+04           7306                -0.8001              1.47                 
-1.302e+04          8011                -1.369               -0.4206              1.26e+04            8650                -0.9473              1.38                 
-1.302e+04          8011                -1.369               -0.4206              1.165e+04           9901                -1.084               1.275                
-1.302e+04          8011                -1.369               -0.4206              1.056e+04           1.105e+04           -1.21                1.157                
-1.302e+04          8011                -1.369               -0.4206              9370                1.208e+04           -1.323               1.026                
-1.302e+04          8011                -1.369               -0.4206              8077                1.298e+04           -1.421               0.8846               
-1.302e+04          8011                -1.369               -0.4206              6698                1.374e+04           -1.505               0.7335               
-1.302e+04          8011                -1.369               -0.4206              5247                1.436e+04           -1.572               0.5747               
-1.302e+04          8011                -1.369               -0.4206              3741                1.482e+04           -1.623               0.4097               
-1.302e+04          8011                -1.369               -0.4206              2195                1.513e+04           -1.657               0.2404               
-1.302e+04          8011                -1.369               -0.4206              625.8               1.527e+04           -1.673               0.06857              
-1.302e+04          8011                -1.369               -0.4206              -950.2              1.526e+04           -1.671               -0.104               
-1.302e+04          8011                -1.369               -0.4206              -2516               1.508e+04           -1.651               -0.2755              
-1.302e+04          8011                -1.369               -0.4206              -4055               1.474e+04           -1.614               -0.444               
-1.302e+04          8011                -1.369               -0.4206              -5551               1.424e+04           -1.56                -0.6079              
-1.302e+04          8011                -1.369               -0.4206              -6989               1.359e+04           -1.489               -0.7652              
-1.302e+04          8011                -1.369               -0.4206              -8351               1.28e+04            -1.402               -0.9144              
-1.302e+04          8011                -1.369               -0.4206              -9625               1.188e+04           -1.3                 -1.054               
-1.302e+04          8011                -1.369               -0.4206              -1.08e+04           1.082e+04           -1.185               -1.182               
-1.302e+04          8011                -1.369               -0.4206              -1.185e+04          9651                -1.057               -1.298               
-1.302e+04          8011                -1.369               -0.4206              -1.279e+04          8379                -0.9176              -1.4                 
-1.302e+04          8011                -1.369               -0.4206              -1.358e+04          7018                -0.7685              -1.487               
-1.302e+04          8011                -1.369               -0.4206              -1.423e+04          5582                -0.6113              -1.558               
-1.302e+04          8011                -1.369               -0.4206              -1.473e+04          4087                -0.4476              -1.613               
-1.302e+04          8011                -1.369               -0.4206              -1.507e+04          2548                -0.2791              -1.65                
-1.302e+04          8011                -1.369               -0.4206              -1.525e+04          982.6               -0.1077              -1.67                
-1.302e+04          8011                -1.369               -0.4206              -1.528e+04          -593.5              0.06494              -1.673               
-1.302e+04          8011                -1.369               -0.4206              -1.513e+04          -2163               0.2368               -1.657               
-1.302e+04          8011                -1.369               -0.4206              -1.483e+04          -3710               0.4062               -1.624               
-1.302e+04          8011                -1.369               -0.4206              -1.437e+04          -5217               0.5712               -1.573               
-1.302e+04          8011                -1.369               -0.4206              -1.376e+04          -6669               0.7302               -1.506               
-1.302e+04          8011                -1.369               -0.4206              -1.3e+04            -8050               0.8814               -1.423               
-1.302e+04          8011                -1.369               -0.4206              -1.21e+04           -9345               1.023                -1.325               
-1.302e+04          8011                -1.369               -0.4206              -1.107e+04          -1.054e+04          1.154                -1.212               
-1.302e+04          8011                -1.369               -0.4206              -9927               -1.163e+04          1.273                -1.087               
-1.302e+04          8011                -1.369               -0.4206              -8677               -1.259e+04          1.378                -0.9501              
-1.302e+04          8011                -1.369               -0.4206              -7335               -1.341e+04          1.469                -0.8031              
-1.302e+04          8011                -1.369               -0.4206              -5915               -1.41e+04           1.544                -0.6476              
-1.302e+04          8011                -1.369               -0.4206              -4432               -1.463e+04          1.602                -0.4853              
-1.302e+04          8011                -1.369               -0.4206              -2902               -1.501e+04          1.643                -0.3177              
-1.302e+04          8011                -1.369               -0.4206              -1341               -1.523e+04          1.667                -0.1468              
-1.302e+04          8011                -1.369               -0.4206              234                 -1.528e+04          1.674                0.02568              
-1.302e+04          8011                -1.369               -0.4206              1807                -1.518e+04          1.662                0.1979               
-1.302e+04          8011                -1.369               -0.4206              3360                -1.491e+04          1.633                0.368                
-1.302e+04          8011                -1.369               -0.4206              4878                -1.449e+04          1.586                0.5342               
-1.302e+04          8011                -1.369               -0.4206              6344                -1.391e+04          1.523                0.6947               
-1.302e+04          8011                -1.369               -0.4206              7742                -1.318e+04          1.443                0.8478               
-1.302e+04          8011                -1.369               -0.4206              9058                -1.231e+04          1.348                0.9919               
-1.302e+04          8011                -1.369               -0.4206              1.028e+04           -1.131e+04          1.239                1.126                
-1.302e+04          8011                -1.369               -0.4206              1.139e+04           -1.02e+04           1.117                1.247                
-1.302e+04          8011                -1.369               -0.4206              1.238e+04           -8969               0.9822               1.355                
-1.302e+04          8011                -1.369               -0.4206              1.324e+04           -7647               0.8374               1.449                
-1.302e+04          8011                -1.369               -0.4206              1.395e+04           -6243               0.6837               1.528                
-1.302e+04          8011                -1.369               -0.4206              1.452e+04           -4773               0.5227               1.59                 
-1.302e+04          8011                -1.369               -0.4206              1.494e+04           -3253               0.3562               1.636                
-1.302e+04          8011                -1.369               -0.4206              1.519e+04           -1697               0.1859               1.664                
-1.302e+04          8011                -1.369               -0.4206              1.529e+04           -123.7              0.0136               1.674                
-1.302e+04          8011                -1.369               -0.4206              1.522e+04           1451                -0.1588              1.666                
-1.302e+04          8011                -1.369               -0.4206              1.499e+04           3010                -0.3296              1.641                
-1.302e+04          8011                -1.369               -0.4206              1.46e+04            4537                -0.4968              1.599                
-1.302e+04          8011                -1.369               -0.4206              1.405e+04           6017                -0.6588              1.539                
-1.302e+04          8011                -1.369               -0.4206              1.336e+04           7432                -0.8138              1.463                
-1.302e+04          8011                -1.369               -0.4206              1.252e+04           8768                -0.9601              1.371                
-1.302e+04          8011                -1.369               -0.4206              1.155e+04           1.001e+04           -1.096               1.265                
-1.302e+04          8011                -1.369               -0.4206              1.046e+04           1.115e+04           -1.221               1.146                
-1.302e+04          8011                -1.369               -0.4206              9258                1.216e+04           -1.332               1.014                
-1.302e+04          8011                -1.369               -0.4206              7956                1.305e+04           -1.429               0.8712               
-1.302e+04          8011                -1.369               -0.4206              6570                1.38e+04            -1.511               0.7194               
-1.302e+04          8011                -1.369               -0.4206              5113                1.441e+04           -1.577               0.5599               
-1.302e+04          8011                -1.369               -0.4206              3603                1.486e+04           -1.627               0.3945               
-1.302e+04          8011                -1.369               -0.4206              2054                1.515e+04           -1.659               0.2249               
-1.302e+04          8011                -1.369               -0.4206              483.4               1.528e+04           -1.673               0.05291              
-1.302e+04          8011                -1.369               -0.4206              -1093               1.525e+04           -1.67                -0.1197              
-1.302e+04          8011                -1.369               -0.4206              -2657               1.505e+04           -1.648               -0.2909              
-1.302e+04          8011                -1.369               -0.4206              -4193               1.47e+04            -1.61                -0.4591              
-1.302e+04          8011                -1.369               -0.4206              -5684               1.419e+04           -1.554               -0.6224              
-1.302e+04          8011                -1.369               -0.4206              -7115               1.353e+04           -1.481               -0.7791              
-1.302e+04          8011                -1.369               -0.4206              -8471               1.273e+04           -1.393               -0.9275              
-1.302e+04          8011                -1.369               -0.4206              -9736               1.179e+04           -1.29                -1.066               
-1.302e+04          8011                -1.369               -0.4206              -1.09e+04           1.072e+04           -1.174               -1.193               
-1.302e+04          8011                -1.369               -0.4206              -1.194e+04          9541                -1.045               -1.308               
-1.302e+04          8011                -1.369               -0.4206              -1.286e+04          8260                -0.9044              -1.408               
-1.302e+04          8011                -1.369               -0.4206              -1.365e+04          6891                -0.7546              -1.494               
-1.302e+04          8011                -1.369               -0.4206              -1.428e+04          5450                -0.5967              -1.564               
-1.302e+04          8011                -1.369               -0.4206              -1.477e+04          3950                -0.4325              -1.617               
-1.302e+04          8011                -1.369               -0.4206              -1.51e+04           2408                -0.2637              -1.653               
-1.302e+04          8011                -1.369               -0.4206              -1.526e+04          840.8               -0.09205             -1.671               
-1.302e+04          8011                -1.369               -0.4206              -1.527e+04          -735.4              0.08055              -1.672               
-1.302e+04          8011                -1.369               -0.4206              -1.511e+04          -2304               0.2523               -1.655               
-1.302e+04          8011                -1.369               -0.4206              -1.479e+04          -3848               0.4214               -1.62                
-1.302e+04          8011                -1.369               -0.4206              -1.432e+04          -5351               0.5859               -1.568               
