Sat1.A1ModJulian          Sat1.Earth.RadApo         Sat1.Earth.RadPer         Sat1.Earth.SMA            Sat1.Earth.SemilatusRectum   Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.ElapsedSecs          
29124.56087475389         95671.99999989443         23918.00000000682         59794.99999995063         38268.8000000003             -3.333058295010696        145515.1750190746         -2.699021397545668        3.705900595347385         0                         15788.17516405965         24081.88298640225         0                         5222.543354344089         
29124.56881769514         95671.99999988747         23918.00000000715         59794.99999994731         38268.80000000014            -3.333058295010881        145515.1750190625         -2.859716536776746        3.432349112013746         0                         13878.52149472093         26530.94924242902         0                         5908.813478727825         
29124.57706591483         95671.99999988318         23918.00000000731         59794.99999994524         38268.80000000002            -3.333058295010996        145515.175019055          -2.987828526678309        3.156529752645231         0                         11792.7389475552          28878.09427143248         0                         6621.45966013195          
29124.58657610022         95671.99999987822         23918.00000000749         59794.99999994285         38268.79999999985            -3.33305829501113         145515.1750190463         -3.094286066468086        2.853581835573749         0                         9291.213046369376         31346.0637931817          0                         7443.139677622821         
29124.59591354791         95671.99999987789         23918.00000000748         59794.99999994269         38268.79999999979            -3.333058295011138        145515.1750190457         -3.163624423675112        2.574602721555501         0                         6764.817645393231         33534.38748886904         0                         8249.895157653373         
29124.6066434059          95671.99999988041         23918.00000000732         59794.99999994387         38268.79999999982            -3.333058295011073        145515.17501905           -3.209227423409128        2.277976586108212         0                         3808.322782639935         35781.71314523002         0                         9176.954887958709         
29124.61825101718         95671.99999988596         23918.00000000709         59794.99999994653         38268.79999999994            -3.333058295010924        145515.1750190597         -3.226977382928164        1.985647356356096         0                         578.5224333732765         37917.27339656133         0                         10179.85250309575         
29124.63083317951         95671.99999989335         23918.00000000676         59794.99999995005         38268.80000000011            -3.333058295010728        145515.1750190725         -3.218710315835102        1.700379844401514         0                         -2927.232064832404        39917.95440063362         0                         11266.95132837631         
29124.6445561434          95671.99999990228         23918.00000000637         59794.99999995432         38268.80000000034            -3.33305829501049         145515.1750190881         -3.186297610924675        1.423269785539722         0                         -6726.338465074685        41766.44361838574         0                         12452.61540811043         
29124.65961302704         95671.99999991238         23918.00000000596         59794.99999995917         38268.80000000063            -3.33305829501022         145515.1750191058         -3.131372715788014        1.15518704494654          0                         -10837.50333692293        43439.82049213701         0                         13753.53015490109         
29124.67622065972         95671.99999992334         23918.00000000554         59794.99999996444         38268.80000000094            -3.333058295009926        145515.1750191251         -3.055381940569127        0.8969655961772182        0                         -15277.71378009729        44907.80908290004         0                         15188.42961802147         
29124.69461321529         95671.99999993472         23918.00000000512         59794.99999996992         38268.80000000131            -3.333058295009621        145515.1750191451         -2.959685744351437        0.6495289312207515        0                         -20058.24204197538        46131.69962037319         0                         16777.54641976207         
29124.71501514414         95671.99999994601         23918.00000000476         59794.99999997539         38268.80000000176            -3.333058295009316        145515.175019165          -2.845775682445783        0.4141214210408045        0                         -25175.78230000574        47063.70807140187         0                         18540.27307211654         
29124.73760013978         95671.9999999563          23918.00000000446         59794.99999998038         38268.80000000219            -3.333058295009037        145515.1750191833         -2.715548273960072        0.192392071523627         0                         -30602.17451422324        47649.50864697928         0                         20491.61669514142         
29124.76246453158         95671.99999996487         23918.00000000428         59794.99999998458         38268.80000000266            -3.333058295008803        145515.1750191986         -2.571400128957174        -0.01389807962320058      0                         -36280.97092235191        47834.9083075723          0                         22639.90014715819         
