,20%,40%,60%,80%,100%
RPM[120],34.763611,72.370094,91.576004,106.451988,115.501274
RPM[121],38.127571,69.89167,88.63765,100.041023,127.357361
RPM[122],36.895294,65.911552,83.52906,110.376373,123.0933
RPM[123],34.826565,72.464493,92.115883,106.52002,115.688332
RPM[124],38.305752,69.96991,88.93721,100.483322,127.715195
RPM[125],36.963482,66.024689,83.907539,110.47393,123.245003
RPM[126],34.880013,72.474998,91.997238,106.56543,116.14518
RPM[127],38.264713,69.999298,88.984695,100.848122,127.649994
RPM[128],37.051128,66.033417,83.907539,110.400749,123.549538
RPM[129],34.931187,72.464493,91.912682,106.952942,116.253197
RPM[130],38.414642,70.136765,88.826614,100.62487,127.976715
RPM[131],37.073109,66.111992,83.837189,110.547203,123.702385
RPM[132],35.046261,72.443497,92.064995,107.136276,116.551277
RPM[133],38.335121,70.185989,89.27066,100.604622,128.206406
RPM[134],37.097862,66.094513,84.02034,110.915039,123.732994
RPM[135],35.01926,72.569664,92.542107,107.021614,116.79631
RPM[136],38.568729,70.16629,89.302559,100.746521,128.140701
RPM[137],37.255421,66.120735,83.907539,110.694046,124.132317
RPM[138],35.169518,72.611824,92.183815,107.021614,116.605644
RPM[139],38.473763,70.087608,89.048088,100.929558,128.370987
RPM[140],37.24432,66.085785,83.992096,111.136917,124.193993
RPM[141],35.132446,72.738586,92.542107,107.297218,116.79631
RPM[142],38.613407,70.16629,89.366402,100.62487,128.734543
RPM[143],37.252644,66.217056,84.289444,111.062859,123.824921
RPM[144],35.147263,72.664581,92.69651,107.205193,117.014984
RPM[145],38.491531,70.117096,89.38237,100.929558,128.668304
RPM[146],37.252644,66.042137,84.204277,111.260574,124.286606
RPM[147],35.162094,72.727997,92.405289,107.274185,117.042366
RPM[148],38.541973,70.334084,89.318504,100.970314,128.668304
RPM[149],37.302673,66.155731,84.26104,111.062859,124.163155
RPM[150],35.132446,72.548607,92.507866,107.343277,116.850899
