Sat.Earth.RadPer          Sat.Earth.RadApo          Sat.Earth.Energy          Sat.Earth.SMA             Sat.Earth.SemilatusRectum   Sat.EarthMJ2000Eq.HX      Sat.EarthMJ2000Eq.HY      Sat.EarthMJ2000Eq.HZ      Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
18000.00000000534         101999.9999998063         -3.321670345838546        59999.99999990584         30599.99999999898           -7.275957614183426e-12    -78093.44886064259        78093.44886064256         11179.35154029039         14030.28600162026         14030.28600162027         -3.144428500053932        3.039193961366164         3.039193961366165         
18000.00000000542         101999.9999998022         -3.32167034583866         59999.99999990378         30599.99999999891           -7.275957614183426e-12    -78093.4488606425         78093.44886064247         9726.057068052876         15353.36543396926         15353.36543396927         -3.29382247076637         2.829737539043323         2.829737539043323         
18000.00000000545         101999.9999998007         -3.321670345838701        59999.99999990305         30599.99999999889           0                         -78093.44886064249        78093.44886064244         8127.432241253381         16650.71580770625         16650.71580770626         -3.411681264411966        2.619094576069962         2.619094576069963         
18000.00000000542         101999.9999998011         -3.321670345838688        59999.99999990327         30599.99999999889           0                         -78093.44886064247        78093.44886064244         6366.63163093913          17929.6006897106          17929.60068971061         -3.500518861694191        2.407952014871626         2.407952014871627         
18000.00000000528         101999.9999998069         -3.321670345838534        59999.99999990606         30599.99999999896           0                         -78093.44886064256        78093.44886064253         4253.504628526489         19299.12935710827         19299.12935710828         -3.566130008380428        2.17943680194242          2.17943680194242          
18000.00000000519         101999.9999998117         -3.321670345838401        59999.99999990847         30599.99999999902           7.275957614183426e-12     -78093.44886064265        78093.4488606426          2083.827957565694         20553.27489026277         20553.27489026278         -3.599937631614907        1.968944276500121         1.968944276500122         
18000.00000000496         101999.9999998232         -3.32167034583809         59999.99999991409         30599.99999999921           0                         -78093.44886064289        78093.44886064285         -448.3123344074297        21857.07206593869         21857.0720659387          -3.608797405225001        1.74944126346472          1.749441263464721         
18000.0000000047          101999.9999998371         -3.321670345837711        59999.99999992092         30599.99999999944           -7.275957614183426e-12    -78093.44886064318        78093.44886064313         -3237.2657632069          23126.82124274713         23126.82124274714         -3.591626176021975        1.535075599744921         1.535075599744922         
18000.00000000439         101999.9999998523         -3.321670345837301        59999.99999992833         30599.9999999997            -7.275957614183426e-12    -78093.44886064352        78093.44886064346         -6298.819895264302        24351.25383789257         24351.25383789259         -3.550280252322956        1.327284618125967         1.327284618125967         
18000.00000000412         101999.9999998681         -3.321670345836869        59999.99999993613         30599.99999999999           -1.818989403545856e-11    -78093.4488606439         78093.44886064384         -9657.703563878355        25519.87156345291         25519.87156345292         -3.486504471286479        1.126737570688232         1.126737570688232         
